energy_sources,load_zones,period,planned_capacity_mw
Uranium,Anhui,2023,940.0
Uranium,Fujian,2023,5642.0
Uranium,Guangdong,2023,10113.0
Uranium,Guangxi,2023,812.0
Uranium,Hainan,2023,489.0
Uranium,Hubei,2023,1880.0
Uranium,Hunan,2023,2820.0
Uranium,Jiangsu,2023,4158.0
Uranium,Jiangxi,2023,1410.0
Uranium,Liaoning,2023,3391.0
Uranium,Shandong,2023,5027.0
Uranium,Zhejiang,2023,5283.0
Wind,East_Inner_Mongolia,2023,10000.0
Wind,Gansu,2023,10000.0
Wind,Hebei,2023,10000.0
Wind,Jiangsu,2023,10000.0
Wind,Jilin,2023,10000.0
Wind,West_Inner_Mongolia,2023,10000.0
Wind,Xinjiang,2023,10000.0
